sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,36,,良好,2,0.43,20.3,6.1,13,13,19.6,25,5.4,0.4,282,"2023/12/28 13:00:00",0.4,11.2,12,1,121.760056,25.129167,1
汐止,新北市,49,,良好,0.7,0.49,3.8,2.9,32,27,25,48.1,23.1,0.7,256,"2023/12/28 13:00:00",0.5,15.1,18,0,121.64081,25.06624,2
萬里,新北市,26,,良好,,0.18,37.8,28.6,13,,4.9,5.9,1,3.3,337,"2023/12/28 13:00:00",0.1,5.5,12,1,121.689881,25.179667,3
新店,新北市,36,,良好,0.8,0.36,17.2,8.3,15,12,16.5,22.8,6.3,0.6,356,"2023/12/28 13:00:00",0.4,11.2,11,0,121.537778,24.977222,4
土城,新北市,56,細懸浮微粒,普通,1.4,0.5,9.7,3.4,23,20,28.9,39.9,10.9,0.8,302,"2023/12/28 13:00:00",0.5,17.6,27,1,121.451861,24.982528,5
板橋,新北市,52,二氧化氮,普通,1.6,0.69,,,29,20,33.5,53.7,20.1,0.7,330,"2023/12/28 13:00:00",0.7,15.3,23,1,121.458667,25.012972,6
新莊,新北市,56,細懸浮微粒,普通,0.9,0.49,20.7,3.5,15,13,18.2,32.5,14.3,3.2,9,"2023/12/28 13:00:00",0.8,17.4,20,0,121.4325,25.037972,7
菜寮,新北市,58,細懸浮微粒,普通,1.2,0.39,21.6,5.1,12,6,20.2,24.8,4.5,1,327,"2023/12/28 13:00:00",0.8,18.2,25,1,121.481028,25.06895,8
林口,新北市,33,,良好,0.7,0.17,30.6,13.4,7,10,8.6,11.4,2.7,3.2,34,"2023/12/28 13:00:00",0.3,10.1,12,0,121.36548982,25.07798949,9
淡水,新北市,34,,良好,1.4,0.18,36.8,15.1,16,8,4.2,5.4,1.2,,,"2023/12/28 13:00:00",0.3,10.4,15,1,121.449239,25.1645,10
士林,臺北市,68,細懸浮微粒,普通,1.2,1.06,2.5,2.7,37,28,44.1,88,43.9,0.3,149,"2023/12/28 13:00:00",0.7,22.3,26,0,121.51666356,25.10334003,11
中山,臺北市,59,細懸浮微粒,普通,1.4,0.98,3.3,3.1,40,28,42.5,74.5,31.9,0.5,134,"2023/12/28 13:00:00",0.8,18.7,26,1,121.526528,25.062361,12
萬華,臺北市,63,二氧化氮,普通,1.5,1.14,4.2,4,46,31,48.1,84.7,36.6,0.5,278,"2023/12/28 13:00:00",0.7,19.2,26,1,121.507972,25.046503,13
古亭,臺北市,50,,良好,0.7,0.62,7.8,5.7,19,15,30.1,43.1,13,0.2,118,"2023/12/28 13:00:00",0.5,12.4,13,0,121.529556,25.020608,14
松山,臺北市,46,,良好,1.9,0.46,7.4,4.3,17,17,23.2,35.9,12.7,0.3,30,"2023/12/28 13:00:00",0.5,14.3,15,1,121.578611,25.05,15
大同,臺北市,73,細懸浮微粒,普通,1.7,2,1.4,0.9,45,34,51.6,132.9,81.3,-,-,"2023/12/28 13:00:00",1.9,24.5,30,1,121.51342074,25.06331455,16
桃園,桃園市,42,,良好,1.1,0.33,22.7,5.8,13,9,18.2,21.5,3.3,2.8,18,"2023/12/28 13:00:00",0.6,13,18,1,121.30500531,24.9947107,17
大園,桃園市,29,,良好,0.5,0.16,37.7,24.8,26,11,9.7,11.7,2,5,25,"2023/12/28 13:00:00",0.2,8.9,20,0,121.20251473,25.06100357,18
觀音,桃園市,30,,良好,0.2,0.15,32.7,32.5,26,11,7.4,8.5,1.1,3.7,30,"2023/12/28 13:00:00",0.1,8.5,26,0,121.08283092,25.03556747,19
平鎮,桃園市,51,細懸浮微粒,普通,1.1,0.31,24.6,8.9,8,11,19.2,23,3.8,1.2,35,"2023/12/28 13:00:00",0.5,15.5,19,1,121.203986,24.952786,20
龍潭,桃園市,48,,良好,0.9,0.48,12.4,8.3,23,22,29.6,40.1,10.5,2.5,0,"2023/12/28 13:00:00",0.4,14.5,17,1,121.21645772,24.86400048,21
湖口,新竹縣,44,,良好,1,0.18,34.6,15,20,12,7.9,9.5,1.5,2.9,30,"2023/12/28 13:00:00",0.3,13.6,20,0,121.03886894,24.90009696,22
竹東,新竹縣,41,,良好,0.5,0.23,21.8,8.8,10,9,11.6,15.2,3.5,0.6,4,"2023/12/28 13:00:00",0.3,12.5,10,0,121.08895493,24.74091408,23
新竹,新竹市,52,細懸浮微粒,普通,0.4,0.3,26.5,6.4,22,10,15.9,17.5,1.5,2.7,32,"2023/12/28 13:00:00",0.5,15.8,21,1,120.97236752,24.8056356,24
頭份,苗栗縣,52,細懸浮微粒,普通,,,21.6,7.2,23,15,,,,2.3,16,"2023/12/28 13:00:00",0.4,16.1,22,1,120.89869286,24.69690679,25
苗栗,苗栗縣,35,,良好,2.2,0.28,16.1,8.6,26,14,15.3,20.8,5.5,2,11,"2023/12/28 13:00:00",0.3,10.8,21,1,120.82011468,24.56499183,26
三義,苗栗縣,25,,良好,0.9,0.18,30.7,16.5,5,7,4.7,6.3,1.5,2.6,25,"2023/12/28 13:00:00",0.2,7.6,7,0,120.75956754,24.38248443,27
豐原,臺中市,28,,良好,2.2,0.19,27.1,18,7,6,5.9,7.9,2,0.8,17,"2023/12/28 13:00:00",0.2,8.5,7,2,120.74252414,24.25699731,28
沙鹿,臺中市,56,細懸浮微粒,普通,1,0.21,23.4,10.7,30,18,10.4,13.5,3.1,3.4,334,"2023/12/28 13:00:00",0.3,17.7,29,0,120.568794,24.225628,29
大里,臺中市,48,,良好,1.3,0.36,17.7,8.5,12,13,29,31.7,2.6,1.3,11,"2023/12/28 13:00:00",0.5,14.1,17,1,120.67844444,24.09961111,30
忠明,臺中市,54,細懸浮微粒,普通,1,0.34,20.7,8.5,24,18,17.2,21.9,4.7,1.2,0,"2023/12/28 13:00:00",0.4,16.8,22,1,120.641092,24.151958,31
西屯,臺中市,63,細懸浮微粒,普通,1.4,0.26,23.9,9.3,17,21,11.6,15.6,4,2.3,1,"2023/12/28 13:00:00",0.4,20.5,21,1,120.616917,24.162197,32
彰化,彰化縣,48,,良好,1,0.38,22.4,13.9,28,12,17.7,23.8,6.1,1.5,356,"2023/12/28 13:00:00",0.4,14.8,24,0,120.541519,24.066,33
線西,彰化縣,60,細懸浮微粒,普通,1.3,0.23,18.7,8.7,29,13,14.2,18.4,4.1,3.3,6,"2023/12/28 13:00:00",0.3,19.3,29,1,120.469061,24.131672,34
二林,彰化縣,62,細懸浮微粒,普通,2.7,0.37,24.9,18.8,42,27,13.4,18.2,4.8,2.9,15,"2023/12/28 13:00:00",0.3,19.9,35,1,120.409653,23.925175,35
南投,南投縣,45,,良好,1.2,0.49,10.7,13.8,23,17,27,38.3,11.2,0.8,126,"2023/12/28 13:00:00",0.3,12.2,19,1,120.685306,23.913,36
斗六,雲林縣,32,,良好,1.3,0.35,22.8,19.7,17,11,13.4,16.6,3.2,2.3,62,"2023/12/28 13:00:00",0.2,9.9,16,1,120.544994,23.711853,37
崙背,雲林縣,56,細懸浮微粒,普通,2.2,0.52,19.7,21.4,45,32,17.5,21.6,4.1,1.4,1,"2023/12/28 13:00:00",0.2,17.5,26,1,120.348742,23.757547,38
新港,嘉義縣,45,,良好,1.2,0.31,25.4,25.3,20,17,10,13.1,3,2.6,17,"2023/12/28 13:00:00",0.2,13.9,17,1,120.345531,23.554839,39
朴子,嘉義縣,33,,良好,1.8,0.25,25.9,23.7,8,10,5.9,7.3,1.4,0.9,14,"2023/12/28 13:00:00",0.2,10.2,13,1,120.2478,23.46538,40
臺西,雲林縣,44,,良好,2,0.35,26.2,21.7,32,22,12.6,15.9,3.3,4.1,19,"2023/12/28 13:00:00",0.2,13.4,25,1,120.19933333,23.702175,41
嘉義,嘉義市,37,,良好,1.3,0.37,13.5,16.8,18,10,18.6,23.1,4.5,2.8,76,"2023/12/28 13:00:00",0.3,11.3,19,1,120.44125148,23.46477865,42
新營,臺南市,30,,良好,0.5,0.24,19.7,17.6,9,7,13.8,15.5,1.7,0.8,62,"2023/12/28 13:00:00",0.2,9.3,16,1,120.31725,23.305633,43
善化,臺南市,34,,良好,2,0.25,19.6,20,7,8,11.5,14.8,3.3,2.3,35,"2023/12/28 13:00:00",0.2,10.5,14,2,120.29740529,23.11337642,44
安南,臺南市,43,,良好,0,0.27,21.1,17.4,12,9,10.6,13.3,2.7,2.7,19,"2023/12/28 13:00:00",0.3,13.2,19,0,120.2175,23.048197,45
